s80,p80,SAR,beta
0.1,0.1,0.05,0.03906073094582154
0.1,0.1,0.06,0.05318710595613446
0.1,0.1,0.07,0.0696524090980656
0.1,0.1,0.08,0.08861243314343398
0.1,0.1,0.09,0.1102395839388196
0.1,0.1,0.1,0.1347222008901016
0.1,0.1,0.11,0.16226472418424678
0.1,0.1,0.12,0.19308807295501013
0.1,0.1,0.13,0.2274305256464706
0.1,0.1,0.14,0.2655486689123252
0.1,0.1,0.15,0.307718527816327
0.1,0.1,0.16,0.35423694358625507
0.1,0.1,0.17,0.4054228148300196
0.1,0.1,0.18,0.4616200842534148
0.1,0.1,0.19,0.523196870258224
0.1,0.1,0.2,0.5905497939910167
0.1,0.1,0.21,0.6641071954734281
0.1,0.1,0.22,0.7443263356085098
0.1,0.1,0.23,0.8317045415593415
0.1,0.1,0.24,0.9267719313368273
0.1,0.1,0.25,0.9999931780870926
0.1,0.1,0.26,0.9999989984924847
0.1,0.1,0.27,0.9999989544353748
0.1,0.1,0.28,0.9999989997915055
0.1,0.1,0.29,0.9999982074397247
0.1,0.1,0.3,0.9999989009685135
0.1,0.1,0.31,0.9999989801120708
0.1,0.1,0.32,0.9999989953479712
0.1,0.1,0.33,0.9999989987649126
0.1,0.1,0.34,0.9999989996351204
0.1,0.1,0.35,0.9999989998819572
0.1,0.1,0.36,0.9999989999586902
0.1,0.1,0.37,0.999998999984521
0.1,0.1,0.38,0.9999989999938402
0.1,0.1,0.39,0.9999989999974151
0.1,0.1,0.4,0.9999989999988624
0.1,0.1,0.41,0.9999989999994778
0.1,0.1,0.42,0.9999989999997508
0.1,0.1,0.43,0.9999985136130559
0.1,0.1,0.44,0.9999986433781916
0.1,0.1,0.45,0.999998735064701
0.1,0.1,0.46,0.9999988007754045
0.1,0.1,0.47,0.9999988485142591
0.1,0.1,0.48,0.9999988836349527
0.1,0.1,0.49,0.9999989097509597
0.1,0.1,0.5,0.9999989293838106
0.1,0.1,0.51,0.9999989442822469
0.1,0.1,0.52,0.9999989556994574
0.1,0.1,0.53,0.9999989645174423
0.1,0.1,0.54,0.9999989713883954
0.1,0.1,0.55,0.9999989767769941
0.1,0.1,0.56,0.9999989810407292
0.1,0.1,0.57,0.9999989844303829
0.1,0.1,0.58,0.9999989871465381
0.1,0.1,0.59,0.9999989893335474
0.1,0.1,0.6,0.9999989911061951
0.1,0.12,0.05,0.034957551909403826
0.1,0.12,0.06,0.047335559822206934
0.1,0.12,0.07,0.06168390598990162
0.1,0.12,0.08,0.07812594757025036
0.1,0.12,0.09,0.096798064614874
0.1,0.12,0.1,0.11784955219993311
0.1,0.12,0.11,0.14144263325263126
0.1,0.12,0.12,0.1677528113779678
0.1,0.12,0.13,0.19696904215182617
0.1,0.12,0.14,0.22929482571993312
0.1,0.12,0.15,0.2649489095363083
0.1,0.12,0.16,0.3041662589565693
0.1,0.12,0.17,0.34719925301832194
0.1,0.12,0.18,0.39431878417894567
0.1,0.12,0.19,0.4458163819982611
0.1,0.12,0.2,0.5020042614873992
0.1,0.12,0.21,0.563218466429552
0.1,0.12,0.22,0.6298203428963813
0.1,0.12,0.23,0.7021979167291831
0.1,0.12,0.24,0.780769124375921
0.1,0.12,0.25,0.8659817977099378
0.1,0.12,0.26,0.9583250664843245
0.1,0.12,0.27,0.9999989938673104
0.1,0.12,0.28,0.9999944850310843
0.1,0.12,0.29,0.9999989787024703
0.1,0.12,0.3,0.9999989998604883
0.1,0.12,0.31,0.9999982378005796
0.1,0.12,0.32,0.999998896272365
0.1,0.12,0.33,0.9999989773750816
0.1,0.12,0.34,0.9999989943360148
0.1,0.12,0.35,0.999998998408071
0.1,0.12,0.36,0.9999989995065868
0.1,0.12,0.37,0.9999989998336155
0.1,0.12,0.38,0.9999989999396417
0.1,0.12,0.39,0.9999989999766628
0.1,0.12,0.4,0.999998999990457
0.1,0.12,0.41,0.9999989999958954
0.1,0.12,0.42,0.9999989999981537
0.1,0.12,0.43,0.9999989999991352
0.1,0.12,0.44,0.9999989999995801
0.1,0.12,0.45,0.9999989999997891
0.1,0.12,0.46,0.9999985394072511
0.1,0.12,0.47,0.9999986556067042
0.1,0.12,0.48,0.9999987394877482
0.1,0.12,0.49,0.9999988008461909
0.1,0.12,0.5,0.9999988462220728
0.1,0.12,0.51,0.9999988801733976
0.1,0.12,0.52,0.9999989058193828
0.1,0.12,0.53,0.9999989253859863
0.1,0.12,0.54,0.9999989404438607
0.1,0.12,0.55,0.99999895212643
0.1,0.12,0.56,0.999998961268532
0.1,0.12,0.57,0.9999989684636439
0.1,0.12,0.58,0.9999989741718359
0.1,0.12,0.59,0.9999989787324146
