Date,Public Health Unit,Cases by episode date,7 day rolling average: Cases by episode date,Cases rate by episode date,Cases by reported date,7 day rolling average: Cases by reported date,Cases rate by reported date,Hospitalizations,Hospitalizations rate,Deaths,Deaths rate
"January 15, 2020",Ontario,0,-,0,0,-,0,0,0,0,0
"January 16, 2020",Ontario,1,-,0,0,-,0,0,0,0,0
"January 17, 2020",Ontario,0,-,0,0,-,0,0,0,0,0
"January 18, 2020",Ontario,0,-,0,0,-,0,0,0,0,0
"January 19, 2020",Ontario,0,-,0,0,-,0,0,0,0,0
"January 20, 2020",Ontario,0,-,0,0,-,0,0,0,0,0
"January 21, 2020",Ontario,1,-,0,0,-,0,1,0,0,0
"January 22, 2020",Ontario,2,0,0,0,0,0,0,0,0,0
"January 23, 2020",Ontario,0,1,0,2,0,0,2,0,0,0
"January 24, 2020",Ontario,1,0,0,1,0,0,0,0,0,0
"January 25, 2020",Ontario,1,1,0,0,0,0,2,0,0,0
"January 26, 2020",Ontario,0,1,0,0,0,0,0,0,0,0
"January 27, 2020",Ontario,1,1,0,0,0,0,0,0,0,0
"January 28, 2020",Ontario,0,1,0,0,0,0,0,0,0,0
"January 29, 2020",Ontario,1,1,0,0,0,0,1,0,0,0
"January 30, 2020",Ontario,0,1,0,0,0,0,2,0,0,0
"January 31, 2020",Ontario,1,1,0,0,0,0,0,0,0,0
"February 1, 2020",Ontario,1,1,0,0,0,0,3,0,0,0
"February 2, 2020",Ontario,1,1,0,0,0,0,0,0,0,0
"February 3, 2020",Ontario,0,1,0,0,0,0,2,0,0,0
"February 4, 2020",Ontario,0,1,0,0,0,0,0,0,0,0
"February 5, 2020",Ontario,3,1,0,2,0,0,0,0,0,0
"February 6, 2020",Ontario,0,1,0,0,0,0,0,0,0,0
"February 7, 2020",Ontario,0,1,0,0,0,0,3,0,0,0
"February 8, 2020",Ontario,0,1,0,0,0,0,0,0,0,0
"February 9, 2020",Ontario,0,1,0,0,0,0,1,0,0,0
"February 10, 2020",Ontario,2,0,0,0,0,0,1,0,0,0
"February 11, 2020",Ontario,0,1,0,0,0,0,2,0,0,0
"February 12, 2020",Ontario,0,1,0,0,0,0,0,0,0,0
"February 13, 2020",Ontario,0,0,0,0,0,0,2,0,0,0
"February 14, 2020",Ontario,2,0,0,0,0,0,1,0,0,0
"February 15, 2020",Ontario,1,1,0,0,0,0,2,0,0,0
"February 16, 2020",Ontario,1,1,0,0,0,0,0,0,0,0
"February 17, 2020",Ontario,2,1,0,0,0,0,2,0,0,0
"February 18, 2020",Ontario,0,1,0,0,0,0,1,0,0,0
"February 19, 2020",Ontario,1,1,0,0,0,0,2,0,0,0
"February 20, 2020",Ontario,5,1,0,0,0,0,1,0,0,0
"February 21, 2020",Ontario,1,2,0,1,0,0,0,0,0,0
