,s80,p80,SAR
0,0.04,0.04,0.13
1,0.04,0.04,0.14
2,0.04,0.04,0.15
3,0.04,0.04,0.16
4,0.04,0.04,0.17
5,0.04,0.04,0.18
6,0.04,0.04,0.19
7,0.04,0.04,0.2
8,0.04,0.04,0.21
9,0.04,0.04,0.22
10,0.04,0.04,0.23
11,0.04,0.04,0.24
12,0.04,0.04,0.25
13,0.04,0.04,0.26
14,0.04,0.04,0.27
15,0.04,0.04,0.28
16,0.04,0.04,0.29
17,0.04,0.04,0.3
18,0.04,0.04,0.31
19,0.04,0.04,0.32
20,0.04,0.04,0.33
21,0.04,0.04,0.34
22,0.04,0.04,0.35
23,0.04,0.04,0.36
24,0.04,0.04,0.37
25,0.04,0.04,0.38
26,0.04,0.04,0.39
27,0.04,0.04,0.4
28,0.04,0.04,0.41
29,0.04,0.04,0.42
30,0.04,0.04,0.43
31,0.04,0.04,0.44
32,0.04,0.04,0.45
33,0.04,0.04,0.46
34,0.04,0.04,0.47
35,0.04,0.04,0.48
36,0.04,0.04,0.49
37,0.04,0.04,0.5
38,0.04,0.04,0.51
39,0.04,0.04,0.52
40,0.04,0.04,0.53
41,0.04,0.04,0.54
42,0.04,0.04,0.55
43,0.04,0.04,0.56
44,0.04,0.04,0.57
45,0.04,0.04,0.58
46,0.04,0.04,0.59
47,0.04,0.04,0.6
48,0.04,0.06,0.15
49,0.04,0.06,0.16
50,0.04,0.06,0.17
51,0.04,0.06,0.18
52,0.04,0.06,0.19
53,0.04,0.06,0.2
54,0.04,0.06,0.21
55,0.04,0.06,0.22
56,0.04,0.06,0.23
57,0.04,0.06,0.24
58,0.04,0.06,0.25
59,0.04,0.06,0.26
60,0.04,0.06,0.27
61,0.04,0.06,0.28
62,0.04,0.06,0.29
63,0.04,0.06,0.3
64,0.04,0.06,0.31
65,0.04,0.06,0.32
66,0.04,0.06,0.33
67,0.04,0.06,0.34
68,0.04,0.06,0.35
69,0.04,0.06,0.36
70,0.04,0.06,0.37
71,0.04,0.06,0.38
72,0.04,0.06,0.39
73,0.04,0.06,0.4
74,0.04,0.06,0.41
75,0.04,0.06,0.42
76,0.04,0.06,0.43
77,0.04,0.06,0.44
78,0.04,0.06,0.45
79,0.04,0.06,0.46
80,0.04,0.06,0.47
81,0.04,0.06,0.48
82,0.04,0.06,0.49
83,0.04,0.06,0.5
84,0.04,0.06,0.51
85,0.04,0.06,0.52
86,0.04,0.06,0.53
87,0.04,0.06,0.54
88,0.04,0.06,0.55
89,0.04,0.06,0.56
90,0.04,0.06,0.57
91,0.04,0.06,0.58
92,0.04,0.06,0.59
93,0.04,0.06,0.6
94,0.04,0.08,0.17
95,0.04,0.08,0.18
96,0.04,0.08,0.19
97,0.04,0.08,0.2
98,0.04,0.08,0.21
99,0.04,0.08,0.22
100,0.04,0.08,0.23
101,0.04,0.08,0.24
102,0.04,0.08,0.25
103,0.04,0.08,0.26
104,0.04,0.08,0.27
105,0.04,0.08,0.28
106,0.04,0.08,0.29
107,0.04,0.08,0.3
108,0.04,0.08,0.31
109,0.04,0.08,0.32
110,0.04,0.08,0.33
111,0.04,0.08,0.34
112,0.04,0.08,0.35
113,0.04,0.08,0.36
114,0.04,0.08,0.37
115,0.04,0.08,0.38
116,0.04,0.08,0.39
117,0.04,0.08,0.4
118,0.04,0.08,0.41
119,0.04,0.08,0.42
120,0.04,0.08,0.43
121,0.04,0.08,0.44
122,0.04,0.08,0.45
123,0.04,0.08,0.46
124,0.04,0.08,0.47
125,0.04,0.08,0.48
126,0.04,0.08,0.49
