p80,mu,sigma
0.01,-5.018014132,3.167969107
0.02,-4.191584084,2.895370126
0.03,-3.705771286,2.722414842
0.04,-3.360028581,2.592307305
0.05,-3.091278613,2.486474859
0.06,-2.871354086,2.396394828
0.07,-2.685199795,2.317412262
0.08,-2.523814255,2.246692794
0.09,-2.381383083,2.182376266
0.1,-2.253931367,2.123172799
0.11,-2.138620874,2.068149354
0.12,-2.033353964,2.016608025
0.13,-1.93653633,1.968012363
0.14,-1.846927786,1.921940574
0.15,-1.763544584,1.878054623
0.16,-1.685593261,1.836079117
0.17,-1.612424553,1.795786487
0.18,-1.543500467,1.756986321
0.19,-1.478370266,1.719517529
0.2,-1.416652602,1.683242467
0.21,-1.358022009,1.64804248
0.22,-1.302198536,1.613814448
0.23,-1.24893968,1.580468083
0.24,-1.19803404,1.547923796
0.25,-1.149296258,1.516110984
0.26,-1.102562959,1.484966639
0.27,-1.057689457,1.454434225
0.28,-1.014547049,1.42446274
0.29,-0.973020805,1.395005953
0.3,-0.933007706,1.366021746
0.31,-0.894415115,1.337471581
0.32,-0.857159474,1.309320033
0.33,-0.821165208,1.281534399
0.34,-0.786363795,1.254084363
0.35,-0.752692966,1.226941699
0.36,-0.720096036,1.200080027
0.37,-0.688521295,1.17347458
0.38,-0.657921524,1.147102022
0.39,-0.628253542,1.120940268
0.4,-0.599477829,1.094968337
0.41,-0.571558193,1.06916621
0.42,-0.544461478,1.043514713
0.43,-0.518157314,1.017995397
0.44,-0.4926179,0.992590449
0.45,-0.467817795,0.96728258
0.46,-0.443733768,0.942054954
0.47,-0.420344641,0.916891096
0.48,-0.397631162,0.891774817
0.49,-0.375575901,0.866690142
0.5,-0.35416315,0.841621234
0.51,-0.333379015,0.816552527
0.52,-0.313210521,0.79146765
0.53,-0.293647216,0.766351376
0.54,-0.274679502,0.741187563
0.55,-0.256299509,0.715960206
0.56,-0.238500105,0.690652018
0.57,-0.221276831,0.665247069
0.58,-0.2046258,0.639727755
0.59,-0.188544826,0.614076259
0.6,-0.173033233,0.588274142
0.61,-0.15809191,0.56230225
0.62,-0.143723393,0.53614064
0.63,-0.129931649,0.509767887
0.64,-0.116722972,0.48316244
0.65,-0.104105195,0.456300767
0.66,-0.092088339,0.429158105
0.67,-0.080684688,0.401708073
0.68,-0.069909004,0.373922464
0.69,-0.059778807,0.345771043
0.7,-0.050314736,0.317221486
0.71,-0.041540144,0.288236514
0.72,-0.033483474,0.258779727
0.73,-0.02617661,0.22880826
0.74,-0.019656702,0.198276082
0.75,-0.018222121,0.19090375
0.76,-0.017470722,0.186926307
0.77,-0.016772872,0.183154973
0.78,-0.005249288,0.102462558
